rjump(-89)(6) rjump(-89)(6)
!ENTRY !ENTRY
transfer(_scratch_3,_Gnum)[1] transfer(_scratch_3,_Gnum)[1]
dec.shift_0 dec.shift_0
main()[100000] main()[100000]
harmonic()[100] harmonic()[100]
reg_decr.7 reg_decr.7
rjump(-89)(7) rjump(-89)(7)
rjump(16)(2) rjump(16)(2)
main()[00000000] main()[00000000]
main()[000100100] main()[000100100]
harmonic()[010] harmonic()[010]
reg_decr.1 reg_decr.1
dec.init dec.init
harmonic()[0101] harmonic()[0101]
harmonic()[01] harmonic()[01]
dispatch.3.carry dispatch.3.carry
main()[000010] main()[000010]
dec.scan_1 dec.scan_1
rjump(-89)(3+) rjump(19)(3+)
transfer(_Gx,_Gi,_scratch_1)[00] transfer(_Gx,_Gi,_scratch_1)[00]
rjump(19)(3+) rjump(19)(3+)
main()[000101] main()[000101]
main()[000011] main()[000011]
harmonic()[010110] harmonic()[010110]
reg_decr.-1 reg_decr.-1
main()[00] main()[00]
transfer(_scratch_3,_Gdenom)[] transfer(_scratch_3,_Gdenom)[]
main()[000000101] main()[000000101]
main()[01100001] main()[01100001]
dispatch.4 dispatch.4
dispatch.9 dispatch.9
main()[0000110] main()[0000110]
transfer(_Gc)[0] transfer(_Gc)[0]
main()[0000000000] main()[0000000000]
inc.shift_0 inc.shift_0
dec.scan_done dec.scan_done
transfer(_Gnum,_scratch_1,_scratch_3)[0] transfer(_Gnum,_scratch_1,_scratch_3)[0]
rjump(-2)(7) rjump(-2)(7)
transfer(_Gx,_Gi,_scratch_1)[1] transfer(_Gx,_Gi,_scratch_1)[1]
main()[000011100] main()[000011100]
rjump(26)(3) rjump(-102)(4)
main()[0000101010] main()[0000101010]
transfer(_Glcm,_Gnum,_scratch_1)[] transfer(_Glcm,_Gnum,_scratch_1)[]
main()[001110001] main()[001110001]
main()[0001] main()[0001]
transfer(_Gnum,_scratch_2,_scratch_3)[] transfer(_Gnum,_scratch_2,_scratch_3)[]
rjump(19)(3) rjump(19)(3)
main()[001] main()[001]
main()[0011100100] main()[0011100100]
main()[0011010] main()[0011010]
main()[00001101] main()[00001101]
transfer(_Gc,_scratch_2,_scratch_3)[0] transfer(_Gc,_scratch_2,_scratch_3)[0]
transfer(_Gnum,_scratch_2,_scratch_3)[0] transfer(_Gnum,_scratch_2,_scratch_3)[0]
transfer(_Gdenom,_Gc,_scratch_1)[0] transfer(_Gdenom,_Gc,_scratch_1)[0]
main()[0011] main()[0011]
harmonic()[111] harmonic()[111]
transfer(_scratch_3,_Glcm)[] transfer(_scratch_3,_Glcm)[]
rjump(-89)(2+) rjump(19)(2+)
harmonic()[011] harmonic()[011]
reg_incr.4 reg_incr.4
transfer(_Gdenom)[0] transfer(_Gdenom)[0]
rjump(102)(6) rjump(102)(6)
transfer(_Gx,_Gi,_scratch_1)[01] transfer(_Gx,_Gi,_scratch_1)[01]
main()[00111000] main()[00111000]
main()[1000010] main()[1000010]
harmonic()[110] harmonic()[110]
square()[0001] square()[0001]
main()[00001] main()[00001]
square()[10] square()[10]
rjump(-26)(3+) rjump(-26)(3+)
rjump(-102)(3) HALT
rjump(-102)(6) HALT
rjump(-2)(10) HALT
rjump(-2)(9) HALT
rjump(-26)(3) HALT
rjump(-26)(4) HALT
rjump(-26)(5) HALT
rjump(-89)(4) HALT
rjump(-89)(5+) HALT
rjump(-89)(6+) HALT
rjump(102)(3+) HALT
rjump(102)(4) HALT
rjump(102)(5) HALT
rjump(102)(6+) HALT
rjump(26)(3+) HALT
rjump(26)(4+) HALT
rjump(26)(5+) HALT
HALT HALT
